source,target,rho,p,n,source_domain,target_domain,q_fdr,abs_rho,cross_domain
MPV,PLCR,0.9957540581682517,0.0,940,inflammatory,inflammatory,0.0,0.9957540581682517,False
PDW,PLCR,0.9781520781067297,0.0,940,inflammatory,inflammatory,0.0,0.9781520781067297,False
MPV,PDW,0.9684777499004181,0.0,940,inflammatory,inflammatory,0.0,0.9684777499004181,False
PLT,PCT,0.9089166247841589,0.0,940,inflammatory,inflammatory,0.0,0.9089166247841589,False
TCHOL,LDL,0.9009051043678387,0.0,1134,metabolic,metabolic,0.0,0.9009051043678387,False
WBC,NEUT_ABS,0.8675140310672959,6.838795512570071e-275,901,inflammatory,inflammatory,4.627584963505748e-273,0.8675140310672959,False
WBC,LYMPH_ABS,0.6033373990400863,1.961544611992451e-90,901,inflammatory,inflammatory,1.1376958749556216e-88,0.6033373990400863,False
WBC,MONO_ABS,0.6008570699535273,1.6181864231646607e-89,901,inflammatory,inflammatory,8.212296097560653e-88,0.6008570699535273,False
NEUT_ABS,MONO_ABS,0.501063715170385,1.933282603863178e-58,901,inflammatory,inflammatory,7.135570337895002e-57,0.501063715170385,False
SHBG,INS0,-0.49632077446164713,3.6622396652976343e-69,1095,endocrine,metabolic,1.6520770045675993e-67,0.49632077446164713,True
HDL,TG,-0.48517118624702105,5.181656312651571e-68,1134,metabolic,metabolic,2.1037524629365376e-66,0.48517118624702105,False
INS0,TG,0.45987623714787434,2.1121213546604406e-58,1095,metabolic,metabolic,7.146010583267825e-57,0.45987623714787434,False
SHBG,HDL,0.4416282604883867,3.4659798334922575e-55,1131,endocrine,metabolic,1.0824521633829665e-53,0.4416282604883867,True
WBC,PCT,0.43450191828218643,1.4414595851789703e-44,940,inflammatory,inflammatory,4.180232797019014e-43,0.43450191828218643,False
ATA_TPO,ATA_TG,0.4271892370598006,1.0925790776868424e-43,956,thyroid,thyroid,2.9572473702723866e-42,0.4271892370598006,False
WBC,PLT,0.41809240894781297,4.5525890356241086e-41,940,inflammatory,inflammatory,9.72816393928099e-40,0.41809240894781297,False
LH,AMH,0.3902908287124924,1.3576847271513385e-41,1107,endocrine,endocrine,3.0623333290191303e-40,0.3902908287124924,False
SHBG,TG,-0.38977929018708113,2.4147041352684405e-42,1131,endocrine,metabolic,6.127311743243668e-41,0.38977929018708113,True
INS0,WBC,0.3883161277460631,2.662543069802073e-34,915,metabolic,inflammatory,4.323969945358567e-33,0.3883161277460631,True
LH,FSH,0.38810968751971636,5.299355293306708e-42,1132,endocrine,endocrine,1.2656107347544256e-40,0.38810968751971636,False
INS0,NEUT_ABS,0.3879366713230278,2.2396938007223934e-33,891,metabolic,inflammatory,3.247556011047471e-32,0.3879366713230278,True
INS0,HDL,-0.3829318230183093,1.451504224164687e-39,1095,metabolic,metabolic,2.9465535750543144e-38,0.3829318230183093,False
PLT,MPV,-0.382669639161678,3.8015426481229467e-34,940,inflammatory,inflammatory,5.936255058222755e-33,0.382669639161678,False
PLT,PLCR,-0.3793650473810803,1.526525829815686e-33,940,inflammatory,inflammatory,2.2954425440932165e-32,0.3793650473810803,False
NEUT_ABS,PCT,0.3775591258089371,6.641347069906109e-32,901,inflammatory,inflammatory,9.297885897868553e-31,0.3775591258089371,False
LH,ANDRO,0.3773551389124042,8.745460662096261e-39,1107,endocrine,endocrine,1.6907890613386106e-37,0.3773551389124042,False
SHBG,NEUT_ABS,-0.37725904623498074,8.086020646815746e-32,900,endocrine,inflammatory,1.059007865357159e-30,0.37725904623498074,True
AMH,ANDRO,0.37590601325261885,1.9139157629410064e-38,1106,endocrine,endocrine,3.5320445443365844e-37,0.37590601325261885,False
SHBG,WBC,-0.3726992940057654,8.013621207059108e-32,924,endocrine,inflammatory,1.059007865357159e-30,0.3726992940057654,True
PLT,PDW,-0.36499306551512206,5.367383652805426e-31,940,inflammatory,inflammatory,6.809868009496884e-30,0.36499306551512206,False
TG,WBC,0.3638867700243079,2.1106330545397846e-30,927,metabolic,inflammatory,2.5967182428580383e-29,0.3638867700243079,True
LDL,TG,0.36209913837480945,1.845146468218286e-36,1134,metabolic,metabolic,3.257084635202714e-35,0.36209913837480945,False
TCHOL,TG,0.3614995821029823,2.4515737309602838e-36,1134,metabolic,metabolic,4.147245561541147e-35,0.3614995821029823,False
NEUT_ABS,PLT,0.35719136034411364,1.6737767525415552e-28,901,inflammatory,inflammatory,1.941581032948204e-27,0.35719136034411364,False
INS0,PCT,0.3566500667550082,7.832292345170206e-29,915,metabolic,inflammatory,9.352678506291482e-28,0.3566500667550082,True
TG,NEUT_ABS,0.3344293746157823,5.875145581377222e-25,900,metabolic,inflammatory,6.2771292264188214e-24,0.3344293746157823,True
TG,PLT,0.3319742660329768,2.754981836647693e-25,927,metabolic,inflammatory,3.0230341234566578e-24,0.3319742660329768,True
INS0,PLT,0.3303121352123261,9.872544569080393e-25,915,metabolic,inflammatory,1.0277572038581127e-23,0.3303121352123261,True
MONO_ABS,PCT,0.32800211175624255,4.840300627710929e-24,901,inflammatory,inflammatory,4.9129051371265924e-23,0.32800211175624255,False
TG,PCT,0.32062349822316344,1.3187807304714919e-23,927,metabolic,inflammatory,1.3059145770034774e-22,0.32062349822316344,True
GLU0,INS0,0.31282032888167777,3.2317664906099244e-26,1092,metabolic,metabolic,3.644714431076748e-25,0.31282032888167777,False
HDL,WBC,-0.31173484297173676,2.435388513119927e-22,927,metabolic,inflammatory,2.1972616362815342e-21,0.31173484297173676,True
ANDRO,ATA_TG,-0.30755054360547474,2.277727654360458e-22,955,endocrine,thyroid,2.1017214265235134e-21,0.30755054360547474,True
MONO_ABS,PLT,0.2903854581746356,5.752984342730034e-19,901,inflammatory,inflammatory,4.969599240741264e-18,0.2903854581746356,False
SHBG,GLU120,-0.29023446274578274,4.608430726344023e-23,1114,endocrine,metabolic,4.351215988129473e-22,0.29023446274578274,True
SHBG,DHEAS,-0.2900117891014611,2.2445460816119398e-23,1132,endocrine,endocrine,2.1697278788915417e-22,0.2900117891014611,False
HDL,NEUT_ABS,-0.2797608500456971,1.2044124329692724e-17,900,metabolic,inflammatory,1.0187321828865096e-16,0.2797608500456971,True
LYMPH_ABS,MONO_ABS,0.2734307448621363,6.497540388858673e-17,901,inflammatory,inflammatory,5.3836763221971855e-16,0.2734307448621363,False
INS0,MONO_ABS,0.26655685911835614,5.85444010689873e-16,891,metabolic,inflammatory,4.660593496864479e-15,0.26655685911835614,True
DHEAS,ANDRO,0.2658517892073925,2.0617251797929304e-19,1110,endocrine,endocrine,1.819696571730282e-18,0.2658517892073925,False
LYMPH_ABS,PCT,0.265378411760263,5.478165557956339e-16,901,inflammatory,inflammatory,4.448270433060547e-15,0.265378411760263,False
LYMPH_ABS,PLT,0.2511826399104846,1.975572246901169e-14,901,inflammatory,inflammatory,1.5133628910224048e-13,0.2511826399104846,False
SHBG,PLT,-0.2329351914359412,7.506141161662294e-13,924,endocrine,inflammatory,5.48080378301847e-12,0.2329351914359412,True
TG,LYMPH_ABS,0.2299638688586633,2.8868444358033294e-12,900,metabolic,inflammatory,2.0207911050623308e-11,0.2299638688586633,True
TCHOL,FT4,-0.2299111615987769,5.073578140525564e-15,1130,metabolic,thyroid,3.961293702025728e-14,0.2299111615987769,True
SHBG,PCT,-0.22881122566931245,1.9301812570415366e-12,924,endocrine,inflammatory,1.3748308602787085e-11,0.22881122566931245,True
GLU120,INS0,0.2279320448922307,2.595225252953812e-14,1090,metabolic,metabolic,1.9512249124060143e-13,0.2279320448922307,False
HDL,PCT,-0.22552167378558755,3.736533080312902e-12,927,metabolic,inflammatory,2.5712414078085396e-11,0.22552167378558755,True
GLU120,NEUT_ABS,0.22512733845498584,1.179791666491185e-11,887,metabolic,inflammatory,7.257506312051835e-11,0.22512733845498584,True
GLU120,WBC,0.22419980130862502,7.647443178840086e-12,911,metabolic,inflammatory,4.7767106624755e-11,0.22419980130862502,True
HDL,PLT,-0.21978433973170466,1.3278939127594482e-11,927,metabolic,inflammatory,8.046640725079641e-11,0.21978433973170466,True
SHBG,MONO_ABS,-0.2136434326205624,9.46239133780843e-11,900,endocrine,inflammatory,5.567725917609019e-10,0.2136434326205624,True
FSH,SHBG,0.2109056239577182,7.559729355887545e-13,1132,endocrine,endocrine,5.48080378301847e-12,0.2109056239577182,False
GLU120,HDL,-0.20474782381850035,5.224467613198165e-12,1114,metabolic,metabolic,3.5322632709812235e-11,0.20474782381850035,False
GLU0,TG,0.20450306156025036,5.307095062311691e-12,1116,metabolic,metabolic,3.5322632709812235e-11,0.20450306156025036,False
NEUT_ABS,LYMPH_ABS,0.20413052045360602,6.248202233960318e-10,901,inflammatory,inflammatory,3.5232918152609573e-09,0.20413052045360602,False
GLU0,HDL,-0.20390249592606396,6.137595654806631e-12,1116,metabolic,metabolic,4.01913521911531e-11,0.20390249592606396,False
GLU120,TG,0.20330325999416743,7.404797131891852e-12,1114,metabolic,metabolic,4.6974181805438936e-11,0.20330325999416743,False
LDL,FT4,-0.20224812970556708,6.781923370592717e-12,1130,metabolic,thyroid,4.3705728388264174e-11,0.20224812970556708,True
LDL,PLT,0.2009004244698533,6.763489987249033e-10,927,metabolic,inflammatory,3.7616122394837084e-09,0.2009004244698533,True
CORT_23,INS0,-0.19821892110368858,3.7289482010854864e-11,1094,endocrine,metabolic,2.226401425942217e-10,0.19821892110368858,True
INS0,LYMPH_ABS,0.19696283171544623,3.0443714779799384e-09,891,metabolic,inflammatory,1.605214052025786e-08,0.19696283171544623,True
HDL,LYMPH_ABS,-0.19566843071409987,3.2350746442502385e-09,900,metabolic,inflammatory,1.6838978276482012e-08,0.19566843071409987,True
GLU0,NEUT_ABS,0.19393565022490203,5.6630740292338206e-09,888,metabolic,inflammatory,2.9103899441378874e-08,0.19393565022490203,True
TG,FT4,-0.18287134146502645,5.910625873956758e-10,1130,metabolic,thyroid,3.4281630068949193e-09,0.18287134146502645,True
CORT_8,CORT_23,0.18270017452485798,6.135891569321955e-10,1130,endocrine,endocrine,3.5086929255559348e-09,0.18270017452485798,False
LDL,PCT,0.18212466329942406,2.3454014564292923e-08,927,metabolic,inflammatory,1.1902912391378658e-07,0.18212466329942406,True
INS0,LDL,0.18186614171857973,1.3457295389636708e-09,1095,metabolic,metabolic,7.284882570923338e-09,0.18186614171857973,False
GLU0,PCT,0.1811335122784417,3.6245005176242645e-08,912,metabolic,inflammatory,1.7729484459704233e-07,0.1811335122784417,True
TCHOL,HDL,0.18103174947849354,8.236196920437124e-10,1134,metabolic,metabolic,4.51877831040199e-09,0.18103174947849354,False
HDL,MONO_ABS,-0.17886820898329092,6.58239608875945e-08,900,metabolic,inflammatory,3.071784841421077e-07,0.17886820898329092,True
TG,MONO_ABS,0.17832173642167948,7.226858343892516e-08,900,metabolic,inflammatory,3.334209645023138e-07,0.17832173642167948,True
RDW,PCT,0.1767675167853667,4.8864705379510984e-08,940,inflammatory,inflammatory,2.3068686493117978e-07,0.1767675167853667,False
SHBG,LYMPH_ABS,-0.17593692559087876,1.0827259517792077e-07,900,endocrine,inflammatory,4.939176813734363e-07,0.17593692559087876,True
DHEAS,HDL,-0.1754378419665775,2.856582417123921e-09,1131,endocrine,metabolic,1.5260163965162e-08,0.1754378419665775,True
DHEAS,INS0,0.16619029928862947,3.1733001327464037e-08,1095,endocrine,metabolic,1.5846013616089615e-07,0.16619029928862947,True
DHEAS,MONO_ABS,0.1656152213451983,5.766600050347751e-07,901,endocrine,inflammatory,2.5727907916936123e-06,0.1656152213451983,True
GLU0,GLU120,0.16473951541085116,3.200426395367853e-08,1114,metabolic,metabolic,1.5846013616089615e-07,0.16473951541085116,False
GLU0,WBC,0.16453770513118085,5.8469764051179e-07,912,metabolic,inflammatory,2.5802961092150734e-06,0.16453770513118085,True
TCHOL,PLT,0.1639424653980279,5.200558961370157e-07,927,metabolic,inflammatory,2.3460299314625375e-06,0.1639424653980279,True
LH,FT4,0.16273389658751553,3.775777585404576e-08,1130,endocrine,thyroid,1.8249591662788785e-07,0.16273389658751553,True
FSH,FT4,0.16220007819233964,4.1878280978245567e-08,1130,endocrine,thyroid,2.0003037737844354e-07,0.16220007819233964,True
LDL,WBC,0.15628247926673003,1.7419151379984532e-06,927,metabolic,inflammatory,7.366849437785125e-06,0.15628247926673003,True
PLT,RDW,0.15224090761073608,2.7486053116225257e-06,940,inflammatory,inflammatory,1.1504471716688097e-05,0.15224090761073608,False
GLU120,PCT,0.15161451847030463,4.297282626794051e-06,911,metabolic,inflammatory,1.7803028025289638e-05,0.15161451847030463,True
