path,size_bytes,md5
scripts/00_setup.ipynb,3896,58659aa778a801d6bb6ec83d4bea77a4
scripts/01_ingest_harmonize.ipynb,7411,7bbff8adf7a927d5fd4d70cc2bf36532
scripts/02_primary_network_dataset.ipynb,4344,0f018b1eed7b3bc307b3c12942d4bf1a
scripts/03_correlation_network.ipynb,5132,a1befa23c7dd93c951ae85db96d9eaca
scripts/04_primary_graphical_lasso.ipynb,6622,6e6929aee1dff52748d11106bcc60f67
scripts/04b_alpha_gamma_sensitivity.ipynb,6983,612168250e20ee954995f908e1ab9d25
scripts/04c_complete_case_network.ipynb,11664,a164f30f6a6644947f66247ca3241d0a
scripts/05_centrality_bridge.ipynb,5207,9c3db6a1817f536ce777faf39b29c453
scripts/06_bootstrap_stability.ipynb,8282,8b7c6c6aa5b0859dfea65bd6e4ebec5b
scripts/07_secondary_full_clinical_network.ipynb,5238,6cfd41a5a3a4d069c81a1bbec990b743
scripts/08_final_qc_manifest.ipynb,6975,71435a13b1eb318c5da227e84e661873
scripts/09_publication_readiness.ipynb,7326,a7bfa805a388a4bf922004df347f7cd4
scripts/_pipeline_common.py,12028,f51934f23c8b279b28571d7598f1512b
scripts/README.md,3352,3d832a54355eea70c07c8e68d526e1c9
outputs/00_setup/analysis_plan_frozen_v2.json,538,fc23d90045d180218ee26230c95de070
outputs/01_ingest_harmonize/feature_dictionary_v2.csv,3667,60915439a11512dc0ff719c8108cb0c0
outputs/01_ingest_harmonize/feature_mapping_report.csv,3377,4118e3a47422bf785ff916eced411329
outputs/01_ingest_harmonize/harmonized_features.csv,386023,5c15b1c02f50d1fab11b81a1844a63c8
outputs/02_primary_network_dataset/primary_direct_features_imputed.csv,456206,da8c6b5826513cbddd03aa7208a6426f
outputs/02_primary_network_dataset/primary_direct_features_unimputed.csv,385382,810a84bac4ccc68eb23103ccf81d4723
outputs/02_primary_network_dataset/primary_direct_features_z.csv,742037,e58652437f5021c0b5e4d20888085c72
outputs/02_primary_network_dataset/primary_feature_set.csv,514,ad768ebe459dc5b11a36bb9d6cd0094b
outputs/02_primary_network_dataset/primary_preprocessing_transformations.csv,1816,e1b3941986645e97924cacc2c382fde0
outputs/02_primary_network_dataset/primary_space_definitions.json,485,6400aa6d4e14ee45379faa3886c3fd9d
outputs/03_correlation_network/spearman_edges_fdr_q05_abs015_primary.csv,12053,8151432038a77afff4336da177c74509
outputs/03_correlation_network/spearman_rho_matrix_primary.csv,17113,93667f4b7ffaf1456a04740d59153bc8
outputs/04_primary_graphical_lasso/Figure_primary_partial_network.png,461773,5419a1e7d0810e3973b2d3ef655c44f7
outputs/04_primary_graphical_lasso/primary_alpha_selection_ebic.csv,872,51822be02133401e1d4e42380f905f46
outputs/04_primary_graphical_lasso/primary_graphical_lasso_model_summary.json,479,0986b8ea16430cd49e18cfd5d223017a
outputs/04_primary_graphical_lasso/primary_graphical_lasso_partial_edges.csv,6523,884d3d1b0edd308509ffd1d0393e8eb9
outputs/04_primary_graphical_lasso/primary_partial_correlation_matrix.csv,6145,b3812c2d4d819e4cb3f392eb23617b62
outputs/04_primary_graphical_lasso_sensitivity/alpha_gamma_density_selection_grid.csv,4235,d1b1f99e441c73a4280d6a13dbff7517
outputs/04_primary_graphical_lasso_sensitivity/bridge_rank_sensitivity_by_alpha.csv,3740,4796a62107a157c8945b255ce8885a49
outputs/04c_complete_case_network/complete_case_alpha_selection_ebic.csv,868,49fe9a0f50b44841ac90338f1e70fd4c
outputs/04c_complete_case_network/complete_case_model_summary.json,732,5efb64b69ab5c89dc416b202f1543e08
outputs/04c_complete_case_network/complete_case_partial_correlation_matrix.csv,5955,a4566ad89562cd6244542b9455529601
outputs/04c_complete_case_network/complete_case_partial_edges.csv,5929,16e3474240dc237e00a7a85f29e12350
outputs/04c_complete_case_network/complete_case_vs_primary_comparison.json,1097,b8c9d7e96b1bb9fb88831a0be68779a5
outputs/04c_complete_case_network/Figure_complete_case_partial_network.png,426153,9f3a75043a5ad756356e8c29f5f477b4
outputs/04c_complete_case_network/Figure_top_bridge_strength_complete_case.png,42896,be87bd65c1cc31f42a69626c76d7a86b
outputs/04c_complete_case_network/Figure_top_node_strength_complete_case.png,41444,ecbeb28310d9e8c008212639ea9c832f
outputs/04c_complete_case_network/Table_complete_case_centrality_bridge_metrics.csv,2044,8dd54f28f75282ea102f011ff7e1f913
outputs/04c_complete_case_network/top_bridge_biomarkers_complete_case.csv,868,1a50099d9c47b7e4d4d431aeb31348c7
outputs/04c_complete_case_network/top_central_biomarkers_complete_case.csv,760,fac3eec92bca78ba0c539866c9129b60
outputs/05_centrality_bridge/domain_connectivity_summary_primary.csv,251,ce615179008168ea040bd1299bdffc63
outputs/05_centrality_bridge/Figure_top_bridge_strength_primary.png,39740,60eee8f0d14ba5d2fc0300d214197360
outputs/05_centrality_bridge/Figure_top_node_strength_primary.png,35701,e659fa0fe1b49404e8f9c854e0a0811b
outputs/05_centrality_bridge/Table_primary_centrality_bridge_metrics.csv,2105,ade510e37d7542ab1466f43e9babb984
outputs/05_centrality_bridge/top_bridge_biomarkers_primary.csv,859,9d9319e991903b72a1bf293967a0cd65
outputs/05_centrality_bridge/top_central_biomarkers_primary.csv,806,adf127ec15a91d48a5296dd2fb9bb66f
outputs/06_bootstrap_stability/bootstrap_stability_summary.json,2994,5a098182a79bb6bb388f90d0edb7809d
outputs/06_bootstrap_stability/centrality_bootstrap_summary_primary.csv,3664,b9fd84b5cd21b7fc6684e48904aca6ef
outputs/06_bootstrap_stability/edge_bootstrap_frequency_primary.csv,7640,325a6a0089bf34df0b148874bfbc6d03
outputs/07_secondary_full_clinical_network/secondary_alpha_selection_ebic.csv,879,d9fe6c73cbc687535e5f07801b3acf39
outputs/07_secondary_full_clinical_network/secondary_centrality_bridge_metrics_with_derived.csv,3106,2ce3cee760c4b3346861bd9af03086aa
outputs/07_secondary_full_clinical_network/secondary_full_clinical_edges_with_derived.csv,19297,4ef1b45590a1be23def6fe686002f18e
outputs/07_secondary_full_clinical_network/secondary_model_summary.json,237,2d1d6bba10e8e190b8d125db42e3509c
outputs/07_secondary_full_clinical_network/top_bridge_biomarkers_secondary_with_derived.csv,847,fc2ae5249307f893b96dbb69453d93b5
outputs/08_final_qc_manifest/file_manifest_v3.csv,6430,a9ff09f136c5f9547a232c7ea2f06cf7
outputs/08_final_qc_manifest/publication_results_summary_v3.json,9795,6ed3a95ce73f17d973dd8f34ca3569be
outputs/09_publication_readiness/publication_readiness_report.json,8900,5ab21328053eb5826a33fa533c77bcd2
